MainText,Title,비관련
"동국대학교 일산병원(병원장 이해원)은 병원 정문 앞 버스 승강장과 택시 승강장에서 대중교통 운전기사들을 대상으로 ‘얼음생수 나눔 캠페인’을 진행 중이라고 18일 밝혔다.



이번 이벤트는 연일 지속되는 폭염에 병원을 오가는 대중교통 운전기사들에게 무더위로 인한 온열병 예방과 안전운전을 위해 마련됐으며 지난해 높은 호응으로 올해에도 이어지고 있다. 생수 나눔 캠페인은 오전 10시부터 오후 3시까지이며 점심시간을 제외한 나머지 시간을 이용해 교직원들이 직접 생수를 제공한다.



택시를 운행하는 한 운전기사는 “무더운 날씨에 뜻밖의 얼음생수를 받아 정말 감사하다”며 “시원한 물을 마시니 잠시나마 더위가 잊혀지는 것 같다”고 감사 인사를 했다.



이해원 병원장은 “최근 폭염 때문에 지쳐있을 운전기사분들이 조금이나마 무더운 여름 건강하게 잘 마무리하길 바라는 취지에서 행사를 진행하고 있다”며 “앞으로도 지역사회 복지 증진에 기여 할 수 있는 다양한 봉사 활동에 적극 나서겠다”고 말했다. 고양=유제원ㆍ송주현기자","동국대일산병원, 무더위 속 '얼음생수 나눔 캠페인' 펼쳐",100
"연천군 맑은물관리사업소는 연일 이어지는 폭염속에 식수 및 생활용수 등 하수 사용량이 증가함에 따라 하수처리장, 하수관로 및 하수중계펌프에 대해 긴급점검을 실시했다고 14일 밝혔다.



이번 하수처리장 점검은 연천, 임진, 청산, 백학, 원당, 신서하수처리장을 대상으로 각종 장비 및 시설물 운영실태 전반에 대해 이뤄졌다.



주요 점검 내용은 ▲ 공공하수처리시설 운영 관련 적정관리 여부 ▲운영관련 일지 및 준수사항 이행 등이었으며, 불명수 하수관로 648㎞와 중계펌프장 58개소에 대해서는 환경기초시설 운영대행 업체로 하여금 일일 순찰도록 해 여름철 악취예방 및 갑작스런 집중호우(태풍)에 대비토록 했다.



군 맑은물관리사업소 박광근 소장은 “수돗물을 사용한 만큼 하수량이 증가되기 때문에 하수처리장 운영전반에 대해 꼼꼼히 점검, 군민이 일상생활에 불편을 겪지 않도록 하기 위해 점검을 실시했다”며 “공공하수도 준설을 통한 악취예방으로 무더위로 부터 냄새없는 마을 만들기에 최선을 다하겠다”고 말했다.

연천=정대전기자",폭염에 따른 하수처리장 및 공공하수도 안전점검,100
"▲ 물놀이취약시설현장점검나서



김성기 가평군수가 폭염으로 증가하는 물놀이 인구의 안전사고 예방을 위해 취약시설 안전점검에 직접 나섰다.



14일 군에 따르면 김 군수는 직접 관내 놀이 관리지역 49개소 및 위험구역 2개소를 돌며 근무자 실태, 안전용품 관리상태, 물놀이객 이용 현황, 관리 사각지 등 현장을 점검했다.



이와 함께 김 군수는 관내 계곡 및 관광지 등을 수시로 순회하며 인명 구조함 및 위험 표지판 설치 등 안전관리 실태를 점검하고 근무자들에게 안전관리의 중요성을 강조했다.



특히, 김 군수는 물놀이 취약지역이 밀집된 북면 지역을 현장 점검하면서 물놀이 계도요원 및 119시민수상구조대원들의 노고를 격려하기도 했다.



이 자리에서 김 군수는 “관광객의 귀중한 생명과 재산을 지킨다는 자긍심과 책임감을 갖고 물놀이 안전사고 예방에 적극적으로 임해 달라”고 당부했다.



한편, 군은 지난달부터 물놀이 특별대책기간을 운영하며 관계기관과 공무원간 소통 및 협업체제 구축, 물놀이 안전관리 워크숍, 수상레저시설 민ㆍ관 합동점검 등을 통해 재난 및 물놀이 안전관리 현장 대응능력을 제고하고 있다.



앞서 군은 민선 7기 군정방침으로 ▲함께하는 참여행정 ▲행복 주는 나눔행정 ▲지역개발 균형발전 ▲인재양성 미래가평 등 기존 4개 목표에 ‘재난관리 안전가평’을 새롭게 추가했다.



가평=고창수기자","가평군, 물놀이 취약시설 안전점검 강화",100
"▲ 대학교에서도 시행되는 용인송담대 '슈퍼쿨비즈(Supe Cool Biz)' 시범운영



용인송담대(총장 최성식)는 하계방학 기간 동안 교직원의 업무효율 향상 및 에너지 절약을 위해 간편한 옷차림의 근무복장 ‘슈퍼쿨비즈(Supe Cool Biz)’를 시범운영한다고 14일 밝혔다.



슈퍼쿨비즈는 지난 하계 연찬회에서 실시된 감담회에서 교직원 구성원들의 ‘폭염 속 업무환경 개선’의 요구사항을 수렴한 결과다.



슈퍼쿨비즈 시범운영은 최근 일부 지자체가 노타이와 반바지 차림이 좋은 반응을 얻으면서 근무복장 풍속도에 달라지는 업무문화에 발맞춰 나아가고 있는 용인송담대학교의 변화상을 잘 보여주고 있다.



용인송담대 관계자는 “슈퍼쿨비즈가 폭염속에서도 업무의 집중도를 높여줌으로서 유연하고 창의적인 근무환경이 조성되어 긍정적이다”라고 평가했다.

용인=강한수ㆍ김승수기자","용인송담대, 슈퍼쿨비즈 시범운영한다",100
"▲한국119소년단 ‘불나면 대피먼저’캠페인



이천소방서(서장 고문수)는 창전청소년문화의집 한국119소년단 단원들을 대상으로 ‘불나면 대피먼저’등 캠페인을 실시했다고 12일 밝혔다.



한국119소년단이란 자발적 활동을 통해 차세대 안전문화를 선도하는 어린이 및 청소년을 육성하기 위해 소방서에서 모집, 운영하는 단체다.



이천소방서에는 창전 청소년문화의집(지역소년단)을 포함해 이천고등학교ㆍ사동중학교(중고등부), 토마토유치원(유치부) 등 총 4개 단이 구성돼 활동 중이다.



이번 행사는 창전청소년문화의집에서 추진하는 ‘이천시 청소년 어울림마당 오감만족?물놀이 한마당’ 행사장에서 진행됐다.



고문수 서장은 “폭염의 날씨 속에서도 학생들이 친구들을 대상으로 적극적인 안전문화 캠페인을 진행하느라 고생이 많았다”라며 “앞으로 소방 홍보에 한국119소년단이 중요한 역할을 해주길 바란다”고 말했다.



이천=김정오기자","이천소방서, 한국119소년단 '불나면 대피먼저'캠페인 실시",100
"의왕시 내손1동은 최근 폭염이 본격적으로 진행됨에 따라 경로당을 순회하며 어르신들의 안부를 확인하는 등 ‘찾아가는 복지행정’을 펼쳐 호응을 얻고 있다.



내손1동은 최근 반도보라 2차 아파트 경로당을 시작으로 지난 6일에는 내손주공아파트 경로당을 방문, 어르신들의 안부를 확인하고 다양한 애로사항을 청취했다.



또한, 어르신들이 여름을 보내는데 불편함이 없도록 냉방기 등 시설을 점검하고 수리가 필요한 노후화된 냉방기는 직접 A/S를 신청하는 등 꼼꼼히 체크했다.



경로당 회장은 “폭염에도 불구하고 직접 경로당을 찾아와 건강을 살펴주고 고장 난 냉방기를 수리해 주는 등 경로당의 쾌적한 환경을 위해 신경 써 줘 고맙다”고 전했다.



박정오 내손1동장은 “연일 폭염이 지속하고 있는 만큼 경로당을 이용하는 어르신들이 시원하고 안전한 환경에서 여름을 보낼 수 있도록 최선을 다하겠다”며 “앞으로 관내 경로당을 순차적으로 방문해 점검할 계획”이라고 말했다. 의왕=임진흥기자

","의왕시 내손1동, 폭염 대비 경로당 순회 방문 찾아가는 복지행정 펼쳐",100
"막바지 장맛비가 닥치면서 일요일까지 경기도를 비롯한 수도권 지역에 최대 400mm의 물 폭탄이 쏟아질 전망이다.



수도권기상청은 25일 밤을 기해 경기도 27개 시ㆍ군에 호우 예비특보를 발효한다고 밝혔다. 해당 지역은 광명, 과천, 안산, 시흥, 부천, 동두천, 연천, 포천, 가평, 고양, 양주, 의정부, 수원, 성남, 안양, 구리, 남양주, 오산, 군포, 의왕, 하남, 용인, 이천, 화성, 여주, 광주, 양평이다.



앞서 기상청은 이날 오후 1시20분께 평택과 안성에, 오후 3시30분께 김포와 파주에 호우주의보를 각각 발령한 바 있다. 이로써 호우 특보는 오늘 밤을 기해 경기도 전역으로 확대된다.



기상청은 장마전선의 영향으로 중부지방을 중심으로 천둥ㆍ번개를 동반한 시간당 50㎜ 이상의 폭우가 내릴 수 있다고 내다봤다.



기상청 관계자는 “야영객은 안전한 곳으로 대피하고 하천 주변의 차량은 침수 피해가 없도록 안전한 곳으로 이동하기 바란다”고 당부했다.



한편 이번 주말(27~28일)을 끝으로 사실상 올 여름 장마는 끝날 것으로 예상됐다. 오는 29일부터는 본격적인 폭염과 열대야가 찾아올 전망이다. 김태희기자",막바지 장맛비에 경기지역 최대 400mm 물폭탄 도내 31개 시ㆍ군 호우 특보,100
"수원소방서(서장 임정호)는 22일 염태영 수원시장과 소방서 직원 160여 명이 참석한 가운데 건강한 여름나기 위한 ‘복달임’ 행사를 개최했다고 밝혔다.



이날 행사는 삼복더위에 맞서 구슬땀을 흘리며 현장활동에 임하는 소방공무원들을 격려하고, 수원시민들의 올여름 건강을 기원하고자 마련됐다.



소방서를 찾은 염태영 시장은 “불철주야 각종 화재사고와 재난ㆍ재해의 현장에서 고생하는 우리 소방공무원들이야말로 수원시의 가장 큰 자산이다”라며 “현장에서 안전사고 없이 무사히 임무를 수행해 달라”고 당부했다.



이와 함께 폭염 속 취약계층을 위한 ‘무더위 쉼터 운영’ 및 ‘벌집 제거 출동태세 강화’ 등 여름철 안전사고 대책 마련을 위해 노력하는 소방서 직원들을 격려하는 시간을 가졌다.



임정호 수원소방서장은 “무더위 탓에 현장활동에 어려움이 더해지는 것은 사실이지만, 우리 수원소방서 직원들은 안전한 수원 만들기에 최선을 다하고 있다”며 “앞으로도 시민들의 행복한 일상을 위해 안전 지킴이로서 노력할 것”이라고 말했다.



채태병기자","수원소방서, 염태영 수원시장과 '복달임' 행사 개최",100
"인천 동구가 송림체육관 무더위 쉼터를 운영한다고 17일 밝혔다.



쉼터는 오는 31일부터 8월 11일까지 송림체육관 보조경기장 1천575㎡의 면적에 조성돼 500여 명이 동시에 이용 가능하다.



구는 쉼터 내에 대형 스크린, 어린이 놀이시설, 텐트, 매트 등 편의시설을 마련했다.



또 지난해 운영상 부족했던 어린이 놀이시설, 무료 와이파이, 휴대전화 충전시설 등도 확충했다.



구는 폭염 대책 기간(5월20일~9월30일) 중 지역 동 행정복지센터, 경로당 및 복지회관 등 41개소에 무더위 쉼터를 운영하고 있다.



쉼터 위치와 운영정보는 국민재난안전 홈페이지와 스마트폰 안전 디딤돌 어플 등을 통해 확인 가능하다.



허인환 동구청장은 “올해도 폭염의 기세가 만만치 않을 것으로 예상한다”며 “모든 구민을 위해 개방된 쉼터인 만큼 더위에 지쳤을 때 언제든 방문해 휴식을 취하시길 바란다”고 말했다.



이승욱기자","동구, 송림체육관 무더위 쉼터 운영 31일부터 개방",0
"㈔한국장애인부모회 광주시지부(지부장 김정옥)는 장애인 가족지원 프로그램인 ‘제12회 사랑의 감자 캐기’ 체험활동을 실시했다고 9일 밝혔다.



부모회 회원 가족 50여 명이 참가한 가운데 양평 원조외갓집 체험마을에서 펼쳐진 이번 행사는 직접 캔 감자로 감자전 부쳐먹기를 비롯, 인절미 만들기, 뗏목타기 및 냇가 물놀이, 황토머드팩 놀이, 송어잡기 등 다양한 체험활동이 진행됐다.



김정옥 지부장은 “폭염경보에도 회원 가족과 아이들이 즐거워하는 모습으로 행사를 마치게 돼 또 한 번의 행복을 느꼈다”라며 “행복한 시간을 만들어 주신 광주시와 광주시의회에 깊은 감사를 드린다”고 말했다.



광주=한상훈기자","장애인부모회, 제12회 사랑의 감자캐기 체험활동 펼쳐",100
"안양시가 이달부터 8월까지 2개월간 하절기 복지사각지대 집중 발굴ㆍ지원에 나선다.



무더위가 기승을 부리는 시기인 만큼 폭염에 취약한 계층을 찾아 도움을 전달한다는 방침이다.



정부나 민간차원의 도움이 필요함에도 지원받지 못하는 복지 소외계층이 중점 발굴대상이다.



특히 ▲주 소득자의 사망 및 구금시설 수용으로 생계유지가 어려운 경우 ▲중한 질병이나 부상을 당한 경우 ▲주소득자와 이혼해 생계가 곤란한 경우 등에 대해 긴급복지 및 기초생활보장제도 등의 공적급여를 받을 수 있도록 지원하고 이에 해당하지 않더라도 생활이 극히 어려운 빈곤계층의 경우 민간자원 서비스를 연계할 계획이다.



시는 이를 위해 복지문화국장을 단장으로 하는 하절기 복지사각지대 집중발굴 T/F팀을 구성해 8월까지 2개월 동안 운영한다.



이와 같은 가정을 발견했거나 알고 있는 주민은 동행정복지센터, 시 무한돌봄센터, 복지상담 콜센터(8045-7979)에 연락하면 된다. 김주만 안양시복지정책과장은 “위기에 처한 가족이 도움을 청할 수 있는 ‘무한돌봄 희망편지함’도 안양역, 범계역 등 다중이용시설 10곳에 설치했다”며 “사회적 약자에게는 더위도 큰 위험요인에 해당하는 만큼 어려운 이웃들이 무더운 여름을 건강하게 지낼 수 있도록 관심을 갖고 제보해 주시기 바란다”고 말했다.



한편 시는 여름철 폭염에 대비해 취약계층에 대한 건강보호를 강화하고 있으며 야간 무더위쉼터를 임시 운영할 계획이다.



안양=한상근ㆍ박준상기자

","안양시, 다음달까지 2개월간 '하절기 복지사각지대' 발굴 지원",100
"동두천시 지역자율방재단(단장 손덕환)은 최근 동두천시 CCTV관제센터 회의실에서 방재단 반장 및 관계 공무원 등 19명이 참여한 가운데 자연재난 대비 간담회를 실시했다고 27일 밝혔다.



자연재난 대비 사업계획을 주제로 취약계층 주택용 소방시설 설치 지원사업, 여름철 풍수해대비 예찰활동, 폭염대비 무더위쉼터 점검활동 등을 집중적으로 논의했다.



13개 자원봉사단체 209명으로 구성된 지역자율방재단은 재난대비 훈련과 점검, 방역, 수해복구, 이재민구호, 풍수해감시, 제설작업, 재난재해 예방캠페인 등의 안전 예방활동을 실시하고 있다.



손덕환 단장은 “시민의 안전을 위한 다가오는 장마철 풍수해 대비에 만전을 기해줄 것”을 단원들에게 당부했다. 동두천=송진의기자","동두천시 지역자율방재단, 여름철 자연재난 대비 안전예방대책 토의",100
"수원시 장안구(구청장 신태호)는 여름철 폭염과 미세먼지에 적극 대응하기 위해 주요 도로변 교통섬에 그늘목(Shade Tree)을 식재, 풍부한 녹음을 제공하는 등 지속가능한 도시숲 조성을 추진한다고 3일 밝혔다.



장안구는 4월께 만석공원사거리 교통섬 등 3개소에 보행자에게 그늘을 제공하고, 통행과 차량 운전자 시야에 방해가 되지 않는 수목을 선정해 식재한다.



장안구 관계자는 “이번 교통섬 내 그늘목 식재를 시작으로 무더운 여름철 자연 그늘 아래서 청량감을 느낄 수 있도록 도시숲 조성을 점차 확대해나갈 계획”이라고 말했다.



한편 장안구는 이번 그늘목 조성을 통해 햇빛을 피할 수 있는 그늘 제공뿐 아니라 미세먼지 흡착, 도시열섬화 방지 등의 효과도 기대하고 있다.



채태병기자","수원시 장안구, 폭염과 미세먼지 대응 위해 '교통섬 녹음 조성' 추진",0
"파주시는 FTA 등 축산물 수입개방에 대응, 경쟁력 있는 축산업 육성을 위해 88억 원 규모의 축산 사업을 본격 추진한다고 28일 밝혔다.



시는 농정 등 심의를 통해 올해 축산분야 사업대상 선정을 완료했는데 쾌적한 축산기반 구축, 친환경 축산업육성, 안전한 동물방역 등 3개 분야 74개 사업이다. 총 사업비는 전년 대비 10억 원이 증액된 약 88억 원 규모다.



이중 시 축산업 역점 추진과제로 냄새없는 청정축산 실현을 위해 축산환경 개선사업, 가축분뇨 정화개보수사업, 다용도 축분처리장비 지원사업 등 총 9개 사업에 15억 원의 예산을 편성했다. 또 축산물 시장개방과 함께 폭염·한파 등 환경의 다변화에 능동적으로 대처하기 위해 신규사업으로 폐사가축 처리장비 지원 등 총 7개 사업에 4억여 원의 사업비를 추가 편성했다. 축종별 환경개선을 위한 자동화 시설 및 장비 지원사업, 안정적인 국내산 조사료 생산확대를 위한 조사료 종자·기계장비·품질관리 지원사업, 축산재해 대비를 위한 가축 재해보험 가입 지원사업 등도 추진한다. 이외에도 축사 환경제어·사료급이·경영관리·출하선별 등 축산업의 전자동화시스템을 지원하는 ICT융복합 확산사업을 추진하고자 22억 원의 사업비를 신청했으며 향후 농림축산식품부 사업대상 확정시 파주시 역점사업으로 추진할 예정이다.



최종환 시장은 “이상기후 등 다각적 환경변화에 적극적으로 대처하기 위한 첨단 축산기술의 도입 및 깨끗한 축산환경 조성을 통한 미래지향적 축산업 발전을 위해 역량을 집중하고 지원을 아끼지 않겠다”고 말했다.

파주= 김요섭기자","파주시, 88억원 규모 축산사업 본격 추진",100
